Alloy,No,Component,Fraction,a,delta,Tm,D_Tm,Hmix,σHmix,Sid,Elec_nega,D_elec_nega,VEC,d_VEC,BulkModulus,D_Bulk,Phase,Phase_inshort
Cr3Si,2 ,Cr Si,3 1,1.2250,0.0339,2056.75,213.48,-27.7500,4.0054,0.5623,1.7200,0.1039,5.5000,0.8660,"145,000,000,000",25.9808,IM,IM
Fe89Zr5B6,3 ,Fe Zr B,89 5 6,1.2338,0.1061,1859.07,141.48,-10.8556,5.6571,0.4223,1.8176,0.1224,7.5000,1.4318,"174,041,666,667",42.7243,BCC,SS
Be2Ti,2 ,Be Ti,2 1,1.2393,0.1270,1687,179.61,-26.6667,1.5713,0.6365,1.5600,0.0141,2.6667,0.9428,"123,333,333,333",9.4281,IM,IM
CrFe,2 ,Cr Fe,1 1,1.2450,0.0032,1995.5,184.50,-1.0000,0.0000,0.6931,1.7450,0.0850,7.0000,1.0000,"165,000,000,000",5.0000,IM,IM
FeCoNi,3 ,Fe Co Ni,1 1 1,1.2460,0.0033,1769,33.89,-1.3333,0.5092,1.0986,1.8733,0.0330,9.0000,0.8165,"176,666,666,667",4.7140,FCC,SS
CoCrFeNi,4 ,Co Cr Fe Ni,1 1 1 1,1.2468,0.0030,1871.75,180.37,-3.7500,1.6370,1.3863,1.8200,0.0967,8.2500,1.4790,"172,500,000,000",8.2916,FCC,SS
CoCr2FeNi,4 ,Co Cr Fe Ni,1 2 1 1,1.2472,0.0028,1933.4,203.05,-4.3200,1.6933,1.3322,1.7880,0.1076,7.8000,1.6000,"170,000,000,000",8.9443,FCC,SS
Cu0.76Si0.24,2 ,Cu Si,0.76 0.24,1.2480,0.0428,1436.7852,140.61,-13.8624,2.1942,0.5511,1.9000,0.0000,9.3200,2.9896,"130,400,000,000",17.0833,IM,IM
Fe89Zr7B4,3 ,Fe Zr B,89 7 4,1.2495,0.1018,1854.67,129.08,-10.7276,5.5826,0.4186,1.8034,0.1362,7.5200,1.3746,"169,058,333,333",39.8434,BCC,SS
NiCoFeCrMo0.1Al0.3,5 ,Ni Co Fe Cr Mo Al,1 1 1 1 0.1 0.3,1.2496,0.0147,1896.731707,238.13,-3.9024,1.6945,1.4671,1.8283,0.1090,8.1951,1.5015,"173,902,439,024",12.0726,FCC,SS
CoCrCu0.5FeNi,5 ,Co Cr Cu Fe Ni,1 1 0.5 1 1,1.2502,0.0084,1814.641111,234.54,0.4938,3.5345,1.5811,1.8289,0.0946,8.5556,1.6405,"168,888,888,889",12.8620,FCC,SS
CoCrCuFeNi,5 ,Co Cr Cu Fe Ni,1 1 1 1 1,1.2530,0.0103,1768.954,261.33,3.2000,4.0517,1.6094,1.8360,0.0922,8.8000,1.7205,"166,000,000,000",14.9666,FCC,SS
CuNiCoFe,4 ,Cu Ni Co Fe,1 1 1 1,1.2540,0.0114,1666.1925,180.47,5.0000,3.3166,1.3863,1.8800,0.0308,9.5000,1.1180,"167,500,000,000",16.3936,FCC,SS
NiCoFeCrMo0.3,5 ,Ni Co Fe Cr Mo,1 1 1 1 0.3,1.2549,0.0238,1943.209302,313.61,-4.1536,1.7881,1.5426,1.8437,0.1273,8.0930,1.5373,"176,511,627,907",16.6892,FCC,SS
Fe91Hf7B2,3 ,Fe Hf B,91 7 2,1.2562,0.0845,1870.39,189.87,-7.6132,4.7266,0.3502,1.7971,0.1395,7.6200,1.2147,"168,800,000,000",26.4681,BCC,SS
CoCrFeNiAl0.25,5 ,Co Cr Fe Ni Al,1 1 1 1 0.25,1.2576,0.0348,1816.557059,281.71,-6.7543,3.6817,1.5285,1.8076,0.1060,7.9412,1.8934,"166,823,529,412",24.0886,FCC,SS
CoCr2FeNiAl0.3,5,Co Cr Fe Ni Al,1 2 1 1 0.3,1.2577,0.0341,1876.800189,303.79,-6.9206,3.3594,1.4743,1.7779,0.1123,7.5283,1.9093,"164,679,245,283",23.3947,FCC+BCC+IM,IM+SS
Co1.5Cr0.5FeMn0.5Ni,5 ,Co Cr Fe Mn Ni,1.5 0.5 1 0.5 1,1.2584,0.0259,1786.777778,161.75,-3.5062,1.7924,1.5230,1.8144,0.1180,8.4444,1.2571,"168,888,888,889",18.5259,FCC,SS
FeNi2CrCuAl0.2,5 ,Fe Ni Cr Cu Al,1 2 1 1 0.2,1.2589,0.0294,1729.127692,302.08,0.1183,5.0513,1.4440,1.8331,0.1040,8.7692,2.0996,"162,538,461,538",22.6923,FCC,SS
